Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
"American Performing Arts Collaborative, Inc.",6 Hancock Place,"6 Hancock Place, New York City",40.8101414,-73.9538229,New York City,NY,10027,(212) 665-7716,Theater,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,20901,1059277,1019500056,Morningside Heights
"American Place Theatre, Inc.","266 West 37th Street, 22nd Floor","266 West 37th Street, 22nd Floor, New York",40.7538382,-73.9918639,New York,NY,10018,(212) 594-4482 x11,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,109,1083624,1007860001,Midtown-Midtown South
"American Story Project Theater Company, Inc.",PO Box 150240,"PO Box 150240, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11215,(914) 907-4041,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Manhattan,,,,
American Symphony Orchestra League,"33 West 60th Street, 5th Floor","33 West 60th Street, 5th Floor, New York",40.7696975,-73.9833311,New York,NY,10023,(646) 822-4039,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,145,1084277,1011130008,Lincoln Square
"American Symphony Orchestra, Inc.",263 West 38th Street,"263 West 38th Street, New York",40.7545523,-73.9908539,New York,NY,10018,(212) 868-9276 x16,Music,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,113,1014474,1007880011,Midtown-Midtown South
"American Tap Dance Foundation, Inc.",154 Christopher Street,"154 Christopher Street, New York",40.7325517,-74.0080891,New York,NY,10014,(646) 230-9564,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,69,1010421,1006040033,West Village
American Theatre Wing,"230 West 41st Street, Suite 1101","230 West 41st Street, Suite 1101, New York",40.7557231,-73.9888607,New York,NY,10036,(212) 765-0606 x302,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,113,1080830,1010120015,Midtown-Midtown South
American Theatre of Harlem,138 South Oxford Street,"138 South Oxford Street, Brooklyn",40.6851273,-73.9734987,Brooklyn,NY,11217,(718) 857-2783,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #5,Brooklyn,179,3000000,3020040048,Fort Greene
"American Turkish Society, Inc.",3 Dag Hammarskjold Plaza,"3 Dag Hammarskjold Plaza, New York",40.7533956,-73.9702279,New York,NY,10017,(212) 583-7614,Film/Video/Audio,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,90,1038906,1013407502,Turtle Bay-East Midtown
"Americas Society, Inc.",680 Park Avenue,"680 Park Avenue, New York",40.7688526,-73.9659768,New York,NY,10065,(212) 277-8334,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #8,Manhattan,122,1041265,1013830033,Upper East Side-Carnegie Hill
Amigos del Museo del Barrio,1230 Fifth Avenue,"1230 Fifth Avenue, New York",40.7930766,-73.9513662,New York,NY,10029,(212) 831-7272,Visual Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,168,1051499,1016100001,East Harlem South
"Amor Artis, Inc.",PO Box 97,"PO Box 97, New York",43.2994285,-74.2179326,New York,NY,10024,(646) 771-0393,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,,,,
"Amore Opera, Inc.",P.O. Box 231368,"P.O. Box 231368, New York",40.7127753,-74.0059728,New York,NY,10023,(917) 620-5550,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,
"An Claidheamh Soluis, Inc.",553 West 51st Street,"553 West 51st Street, New York",40.7664145,-73.9935,New York,NY,10019,(212) 757-3318 x205,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,135,1082282,1010800103,Clinton
"Angel Orensanz Foundation, Inc",172 Norfolk Street,"172 Norfolk Street, New York",40.7211655,-73.9857196,New York,NY,10002,(212) 529-7194,,,,Manhattan,3001,1004329,1003550041,Chinatown
"Annabella Gonzalez Dance Theater, Inc.","4 East 89th Street, #PH-C","4 East 89th Street, #PH-C, New York",40.7830746,-73.9584608,New York,NY,10128,(212) 722-4128,Dance,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,15002,1046964,1015000065,Upper East Side-Carnegie Hill
"Anne Frank Center USA, Inc.",44 Park Place / 100 Church Street,"44 Park Place / 100 Church Street, New York",40.714464,-74.010974,New York,NY,10007,(212) 431-7993 x301,Humanities,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,,,,
"Ansonia Music Outreach Organization, Inc.",330 Wadsworth Avenue 2G,"330 Wadsworth Avenue 2G, New York",40.8554259,-73.9312518,New York,NY,10040,(212) 567-3554,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,279,1064084,1021700287,Washington Heights North
"Anthology Film Archives, Inc.",32 Second Avenue,"32 Second Avenue, New York",40.7246322,-73.9900275,New York,NY,10003,(212) 505-5181 x11,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,3602,1006081,1004430008,East Village
"Anthropologists, Inc.",100 Cabrini Blvd. #24,"100 Cabrini Blvd. #24, New York",40.851557,-73.940465,New York,NY,10033,(917) 557-3517,Theater,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,275,1064334,1021790070,Washington Heights North
"Bella Voce, Inc.",659 85th Street,"659 85th Street, Brooklyn",40.6201033,-74.0218989,Brooklyn,NY,11228,(917) 501-0338,Music,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,140,3152918,3060280069,Dyker Heights
Anthropology Museum of the People of New York,64-19 Kissena Boulevard,"64-19 Kissena Boulevard, Flushing",40.7373823,-73.8142906,Flushing,NY,11367,(718) 428-5650,Museum,Queens Council District #24,Queens Community Board #8,Queens,122702,4146646,4067430029,Pomonok-Flushing Heights-Hillcrest
"Anti-Social Music, Inc.",71 Ocean Parkway 3H,"71 Ocean Parkway 3H, Brooklyn",40.6493578,-73.9744629,Brooklyn,NY,11218,(646) 489-8791,Music,Brooklyn Council District #33,Brooklyn Community Board #8,Brooklyn,504,3124031,3053200001,Windsor Terrace
Anyone Corporation,41 West 25th Street,"41 West 25th Street, New York",40.7440405,-73.9907621,New York,NY,10010,(212) 645-1400,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,58,1015612,1008270012,Hudson Yards-Chelsea-Flatiron-Union Square
"Aperture Foundation, Inc.","547 West 27th Street, 4th Floor","547 West 27th Street, 4th Floor, New York",40.751259,-74.0043461,New York,NY,10001,(212) 946-7117,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,99,1012403,1006990005,Hudson Yards-Chelsea-Flatiron-Union Square
ApexArt Curatorial Program,291 Church Street,"291 Church Street, New York",40.719056,-74.0044723,New York,NY,10013,(212) 431-5270,Visual Arts,Manhattan Council District #1,Manhattan Community Board #10,Manhattan,33,1002206,1001930019,SoHo-TriBeCa-Civic Center-Little Italy
"Apollo Theater Foundation, Inc.",253 West 125th Street,"253 West 125th Street, New York",40.810033,-73.9500391,New York,NY,10027,(212) 531-5332,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,222,1058654,1019310010,Central Harlem South
"Appleby Foundation, Inc.","579 Broadway, 4B, Apt. 4B","579 Broadway, 4B, Apt. 4B, New York",40.72467,-73.9977077,New York,NY,10012,(212) 431-8489,Dance,Manhattan Council District #2,Manhattan Community Board #1,Manhattan,49,1007953,1005120020,SoHo-TriBeCa-Civic Center-Little Italy
"Aquila Theatre Company, Inc.",100 Washington Square East,"100 Washington Square East, New York",40.7302704,-73.995686,New York,NY,10003,(212) 992-9642,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,59,1008820,1005470001,West Village
"Arab American Association of NY, Inc.",7111 5th Avenue,"7111 5th Avenue, Brooklyn",40.778016,-73.962986,Brooklyn,NY,11209,(718) 745-3523,"Multi-Discipline, Performing",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,130,3146649,3058930010,Bay Ridge
Arab-American Family Support Center Inc.,150 Court Street,"150 Court Street, Brooklyn",40.6889791,-73.9929629,Brooklyn,NY,11201,(718) 643-8000,Folk Arts,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,45,3003069,3002920026,Carroll Gardens-Columbia Street-Red Hook
"Archipelago Books, Inc.","232 Third Street, Room A111","232 Third Street, Room A111, Brooklyn",40.7108749,-73.9585526,Brooklyn,NY,11215,(718) 852-6134,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,119,3337594,3009800008,Park Slope-Gowanus
Architectural League of New York,"594 Broadway, Suite 607","594 Broadway, Suite 607, New York",40.7248688,-73.9968682,New York,NY,10012,(212) 753-1722,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,43,1007944,1005110012,SoHo-TriBeCa-Civic Center-Little Italy
Archive for Research in Archetypal Symbolism,28 East 39th Street,"28 East 39th Street, New York",40.7504314,-73.9801406,New York,NY,10016,(212) 697-3480,Other,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,82,1017240,1008680050,Murray Hill-Kips Bay
"Arcos Orchestra, Ltd.",17 E 96th St 14B,"17 E 96th St 14B, New York",40.7876421,-73.9542362,New York,NY,10128,(772) 766-2851,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,16002,1051441,1016020013,East Harlem South
"Audience Development Committee, Inc.",P.O. Box 30,"P.O. Box 30, New York",40.7617011,-73.9107704,New York,NY,10027,(212) 368-6906,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,
Ardea Arts,463 Broome Street,"463 Broome Street, New York",40.7222018,-74.0013444,New York,NY,10013,(212) 431-7039,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,47,1007034,1004740009,SoHo-TriBeCa-Civic Center-Little Italy
"Arete Education, Inc.",557 Grand Concourse,"557 Grand Concourse, Bronx",40.8190591,-73.9274158,Bronx,NY,10451,(646) 504-2015,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #8,Bronx Community Board #1,Bronx,63,2001057,2023470024,West Concourse
Arete Living Arts Foundation,64 Dupont St 2L,"64 Dupont St 2L, Brooklyn",40.7354971,-73.9576403,Brooklyn,NY,11222,(718) 349-1681,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,563,3063810,3024950015,Greenpoint
Argento New Music Project,PO Box 824,"PO Box 824, New York",40.8681539,-73.425676,New York,NY,10024-0540,(212) 665-4444,Music,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,,,,
"Armitage Foundation, Ltd.",9 North Moore St. #4,"9 North Moore St. #4, New York",40.719922,-74.0063246,New York,NY,10013,(212) 431-4314,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,33,1002175,1001907502,SoHo-TriBeCa-Civic Center-Little Italy
"Around the Block, Inc.","5 East 22nd Street, Suite 9K","5 East 22nd Street, Suite 9K, New York",40.7407034,-73.9890331,New York,NY,10010,(212) 673-9187,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,56,1016304,1008517501,Hudson Yards-Chelsea-Flatiron-Union Square
"Ars Nova Theater I, Inc.",511 West 54th Street,"511 West 54th Street, New York",40.7677847,-73.990458,New York,NY,10019,(212) 489-9800 x139,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #4,Manhattan,135,1027060,1010830026,Clinton
"Art Beyond Sight, Inc.",589 Broadway,"589 Broadway, New York",40.7250406,-73.9976716,New York,NY,10012,(212) 334-8720,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,49,1007952,1005120017,SoHo-TriBeCa-Civic Center-Little Italy
Art Connects New York,"4 West 43rd Street, #507","4 West 43rd Street, #507, New York",40.7543471,-73.9812147,New York,NY,10036,(646) 546-5334,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,96,1034201,1012580042,Midtown-Midtown South
"Art Directors Club, Inc.",106 West 29th Street,"106 West 29th Street, New York",40.7467495,-73.9907689,New York,NY,10001,(212) 643-1440,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,95,1015125,1008040044,Midtown-Midtown South
Art For Progress,"133 Mulberry Street, #4W1","133 Mulberry Street, #4W1, New York",40.7186467,-73.9979241,New York,NY,10013,(212) 475-4185,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #2,Manhattan,41,1003081,1002367503,SoHo-TriBeCa-Civic Center-Little Italy
Art House Astoria Conservatory for Music and Art,23-35 Broadway,"23-35 Broadway, Astoria",40.7876741,-73.9774292,Astoria,NY,11106,(347) 738-4148,"Multi-Discipl, Perf & Non-Perf",Queens Council District #22,Queens Community Board #1,Queens,75,4006568,4005670007,Astoria
"Art Kibbutz, Inc.",500 W 235th Street,"500 W 235th Street, Bronx",40.884925,-73.907819,Bronx,NY,10463,(347) 479-8274,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #11,Bronx Community Board #8,Manhattan,,,,
"Art Lab, Inc.",1000 Richmond Terrace,"1000 Richmond Terrace, Staten Island",40.6419122,-74.1019409,Staten Island,NY,10301,(718) 447-8667,Visual Arts,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,97,5000000,5000760200,West New Brighton-New Brighton-St. George
Art Loisaida Foundation,608 E.9th St.,"608 E.9th St., New York",40.7259046,-73.9798119,New York,NY,10009,(212) 674-4057,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,2602,1004739,1003910011,Lower East Side
Art Omi Inc.,"55 Fifth Avenue, 15th Floor","55 Fifth Avenue, 15th Floor, New York",40.7346278,-73.9942558,New York,NY,10003,(212) 206-5660,"Multi-Discipline, Performing",Manhattan Council District #2,Brooklyn Community Board #3,Manhattan,61,1009373,1005707501,West Village
"Art Radio International, Inc.",159 Pioneer St,"159 Pioneer St, Brooklyn",40.6792483,-74.012154,Brooklyn,NY,11231,(212) 233-1096,New Media,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,1502,,,Battery Park City-Lower Manhattan
Art Resources Transfer,"526 W 26th St., #614","526 W 26th St., #614, New York",40.7500522,-74.0042667,New York,NY,10001,(212) 255-2919,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,99,1012386,1006970047,Hudson Yards-Chelsea-Flatiron-Union Square
"Art Resources for Teachers and Students, Inc.",134 Henry Street,"134 Henry Street, New York",40.713095,-73.990804,New York,NY,11372,(212) 962-8231,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,6,1003263,1002730032,Lower East Side
"Art Song Preservation Society of New York, Inc.",PO Box 177,"PO Box 177, New York",40.8455213,-73.9327993,New York,NY,10113,(646) 263-7829,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,
"Art Start, Inc.",526 West 26th Street Suite 501,"526 West 26th Street Suite 501, New York",40.7500522,-74.0042667,New York,NY,10001,(212) 460-0019,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,99,1012386,1006970047,Hudson Yards-Chelsea-Flatiron-Union Square
Art Students League of New York,215 West 57th Street,"215 West 57th Street, New York",40.7661229,-73.9807155,New York,NY,10019,(212) 247-4510 x108,Visual Arts,Manhattan Council District #7,Manhattan Community Board #5,Manhattan,137,1080846,1010290023,Midtown-Midtown South
"Art Sweats, Inc.",75 Broad Street,"75 Broad Street, New York",40.7046172,-74.0112325,New York,NY,10004,(212) 677-2503,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,9,1000849,1000290070,Battery Park City-Lower Manhattan
"Art for Change, Inc.",1699 Lexington Avenue,"1699 Lexington Avenue, New York",40.7925333,-73.9457867,New York,NY,10029,(212) 348-7044,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,172,1052053,1016340052,East Harlem South
"Art in General, Inc.",20 Jay Street,"20 Jay Street, New York",40.7041895,-73.9867797,New York,NY,11201,(212) 219-0473 x36,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Brooklyn,21,3000010,3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Art of Brooklyn Festival, Inc.",145 72nd St.,"145 72nd St., Brooklyn",40.634734,-74.031104,Brooklyn,NY,11209,(917) 538-1799,Film/Video/Audio,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,36,3146490,3058890058,Bay Ridge
"Art of the Early Keyboard, Inc.","170 West 73rd Street, Apt. 3C","170 West 73rd Street, Apt. 3C, New York",40.7790479,-73.9809143,New York,NY,10023,(212) 967-9157,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,157,1029960,1011440061,Lincoln Square
"Art's House Schools, Inc.",1001-1003 Surf Avenue,"1001-1003 Surf Avenue, Brooklyn",40.5756934,-73.9781131,Brooklyn,NY,11224,(718) 996-2000,Dance,Brooklyn Council District #48,Brooklyn Community Board #13,Brooklyn,350,3346337,3072680228,West Brighton
"Art21, Inc.","231 West 29th Street, #706","231 West 29th Street, #706, New York",40.7484925,-73.994179,New York,NY,10001,(212) 741-7133,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,95,1014283,1007790017,Midtown-Midtown South
"ArtBridge Projects, Inc.",601 West 26h Street,"601 West 26h Street, New York",40.7516571,-74.0071579,New York,NY,10001,(917) 720-5742,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
